1 x 1   Plan 9 From Outer Space (Mike Nelson Solo)	2006-01-01	  
1 x 2   Night of the Living Dead (Mike Nelson solo)	2006-01-18	  
1 x 3   Road House	2006-07-21	  
1 x 4   The Fifth Element	2006-08-06	  
1 x 5   Star Trek V: The Final Frontier	2006-08-18	  
1 x 6   Cocktail	2006-08-29	  
1 x 7   xXx	2006-09-06	  
1 x 8   Crossroads	2006-09-15	  
1 x 9   X-Men	2006-09-22	  
1 x 10	Top Gun	2006-09-29	  
1 x 11	Point Break	2006-10-10	  
1 x 12	Halloween	2006-10-19	  
1 x 13	The Matrix	2006-10-25	  
1 x 14	Star Wars Episode I: The Phantom Menace	2006-11-01	  
1 x 15	The Grudge	2006-11-10	  
1 x 16	The Lord of the Rings: The Fellowship of the Ring	2006-11-21	  
1 x 17	The Island of Dr. Moreau	2006-12-01	  
1 x 18	Firewall	2006-12-08	  
1 x 19	Nestor the Long-Eared Christmas Donkey	2006-12-19	  
1 x 20	Reign of Fire	2006-12-21	  
1 x 21	Daredevil	2007-01-18	  
1 x 22	Battlefield Earth	2007-01-28	  
1 x 23	Troll 2	2007-02-02	  
1 x 24	Star Trek VI: The Undiscovered Country	2007-02-09	  
1 x 25	Over the Top	2007-02-16	  
1 x 26	Aeon Flux	2007-02-23	  
1 x 27	The Wicker Man	2007-03-02	  
1 x 28	Terminator 3	2007-03-16	  
1 x 29	Lost: Pilot (1)	2007-03-30	  
1 x 29	Lost: Pilot (2)	2007-03-30	  
1 x 30	Star Wars Episode II: Attack of the Clones	2007-04-06	  
1 x 31	Willy Wonka and the Chocolate Factory	2007-04-13	  
1 x 32	Casino Royale	2007-04-30	  
1 x 33	Eragon	2007-05-11	  
1 x 34	Glitter	2007-05-21	  
1 x 35	Predator	2007-06-01	  
1 x 36	Grey's Anatomy: Pilot (1)	2007-06-11	  
1 x 36	Grey's Anatomy: Pilot (2)	2007-06-11	  
1 x 37	Fantastic Four	2007-06-22	  
1 x 38	Star Trek VII: Generations	2007-07-02	  
1 x 39	300	2007-07-31	  
1 x 40	The Bourne Identity	2007-08-07	  
1 x 41	Independence Day	2007-08-14	  
1 x 42	Heroes: Pilot (1)	2007-09-04	  
1 x 42	Heroes: Pilot (2)	2007-09-04	  
1 x 43	Star Wars Episode III: Revenge of the Sith	2007-09-25	  
1 x 44	Raiders of the Lost Ark	2007-10-02	  
1 x 45	Spider-Man	2007-10-09	  
1 x 46	Next	2007-10-16	  
1 x 47	Missile to the Moon	2007-10-30	  
1 x 48	Transformers	2007-11-20	  
